机房位置,项目平台,厂家信息,设备类型,U数,导轨位置,机柜号,主机名,IP地址,远控卡ip,远控卡ip,硬件信息,序列号,供应商,CPU,硬盘,内存,状态,是否上传
idc,platform,manufacturer,machine_type,uhight ,railnum,cabinet, hostname,ipadd,manager_ip,remote_card_ip,product_name,serial_number,suppliers,cpu,disk,memory, status,
三墩,大数据,dell,物理机,2,11,H15,DT-VS-VM-1-1,10.0.16.160,,172.16.16.211,r730,1BDS8M2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD ----- 16*1.2T RAID-5=1.6TB,32GB*24=768GB,已使用,y
三墩,大数据,dell,物理机,2,9,H15,DT-VS-VM-1-2,10.0.16.161,,172.16.16.212,r730,1BCV8M2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD ----- 16*1.2T RAID-5=1.7TB,32GB*24=768GB,已使用,y
三墩,大数据,h3c,交换机,1,37,H16,H16-DT-HW-SW-1-1,,,,S5110-52P-SI,219801A0L2916BQ00190,,,,,已使用,y
三墩,大数据,h3c,防火墙,1,39,H15,H15-DT-FW-1-1,,,,F1005,219801A0X0917AQ00089,,,,,已使用,y
三墩,大数据,h3c,防火墙,1,35,H15,H15-DT-SW-1-1,,,,S5560-34C-EI,210235A1QMH17A000446,,,,,已使用,y
三墩,运维基础,dell,物理机,2,6,H15,H16-OPS-VM-ELK-1,192.168.17.100,,172.16.17.10,R630,2CR0YL2,,E5-2630 v4 @ 2.20GHz --- 2*10C*2=44,SSD ---------- 5*960GB RAID5=3.5T,16GB*24=128GB,已使用,y
三墩,运维基础,dell,物理机,2,4,H15,H16-OPS-VM-ELK-2,192.168.17.101,,172.16.17.11,R630,2CS1YL2,,E5-2630 v4 @ 2.20GHz --- 2*10C*2=44,SSD ---------- 5*960GB RAID5=3.5T,16GB*24=128GB,已使用,y
三墩,运维基础,dell,物理机,2,2,H15,H16-OPS-VM-ELK-3,192.168.17.102,,172.16.17.12,R630,2CR5YL2,,E5-2630 v4 @ 2.20GHz --- 2*10C*2=44,,,已使用,y
三墩,91彩站,dell,物理机,1,35,G15,91CZ-WEB-PD-1-1,10.0.10.1,,172.16.8.10,r630,CN4TW72,,E5-2620 v3 @ 2.40GHz ---  2*6C*2=24,,,已使用,y
三墩,91彩站,h3c,防火墙,1,39,G15,91cz-FW-1-1,10.0.0.1,,, F1005,219801A0X0916CQ00341,,,,,已使用,y
三墩,91彩站,h3c,交换机,1,37,G15,91cz-SW-1-1,192.168.120.2,,,S5110-52P-SI, 219801A0L2916BQ00198,,,,,已使用,y
三墩,91彩站,dell,物理机,2,33,G15,91CZ-VS-VM-1-1,10.0.16.150,,172.16.8.12,r730xd,8LZTZG2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,,,已使用,y
三墩,91彩站,h3c,交换机,1,41,G15,G15-jinli-sw-1-1,,,,S5110-52P-SI,219801A0L29162Q00547,,,,,已使用,y
三墩,运维基础,h3c,交换机,1,41,H16,H16-SD-bgp-aggregate-1,,,,S5130S-28S-HI,219801A12S9175Q00161,,,,,已使用,y
三墩,运维基础,h3c,交换机,1,39,H16,H16-SD-bgp-aggregate-2,,,,S5130S-28S-HI,219801A12S9175Q00151,,,,,已使用,y
三墩,运维基础,金盾,防火墙,1,35,H16,H16-中新金盾防火墙,,,,6110,Q@dABMtny#IGjUCCYreSG,,,,,已使用,y
三墩,运维基础,h3c,交换机,1,41,H15,H15-OPS-SW-1-1,,,,S5110-52P-SI,219801A0L2916BQ00199,,,,,已使用,y
三墩,运维基础,h3c,交换机,1,39,H17,H17-SD-ZW-SW-1-1,,,,S6300-42QT,210235A1DSH172000072,,,,,已使用,y
三墩,运维基础,h3c,路由器,1,41,H17,H17-ZW-RU-PN-1-1,,,,R8300,219801A0P5916BQ00107 ,,,,,已使用,y
嘉兴,熊猫备站,dell,物理机,2,32,2003/5/5,88LM-VS-VM-1-1,10.0.16.170,,172.16.32.20,R730xd,8M0PZG2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD ----- 24*1.2T RAID-5=2.5TB,32G*16=512GB,已使用,y
嘉兴,熊猫备站,dell,物理机,2,29,2003/5/5,88LM-VS-VM-1-2,10.0.16.171,,172.16.32.21,R730xd,8LCMZG2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD ----- 24*1.2T RAID-5=2.5TB,32G*16=512GB,已使用,y
嘉兴,熊猫备站,dell,物理机,2,26,2003/5/5,88LM-VS-VM-1-3,10.0.16.172,,172.16.32.22,R820,D94QF52,沃趣_江南, E5-4610 v2 @ 2.30GHz  --- 4*8C*2=64,HDD ----- 16*1.2T RAID-5=1.7TB,16GB*16=256GB,已使用,y
嘉兴,熊猫备站,dell,物理机,2,22,2003/5/5,88lM-DB-PD-1,10.0.12.92,192.168.12.92 ,172.16.33.1,Q730(r730),7R24VK2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,HDD ---- 2*1.2T SSD ---- 10*900G,32GB*16=512G,已使用,y
嘉兴,熊猫备站,dell,物理机,2,19,2003/5/5,88lM-DB-PD-2,10.0.12.93,192.168.12.93,172.16.33.2,Q730(r730),9T31HJ2,沃趣_江南, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,SSD ---- 16*88G,32GB*24=768G,已使用,y
嘉兴,熊猫备站,h3c,交换机,1,38,2003/5/5,88lm-fw-1-1,,,, F1005,219801A0X0916CQ00378,,,,,已使用,y
嘉兴,熊猫备站,h3c,交换机,1,36,2003/5/5,88lm-sw-1-1,,,,S5110-52P-SI,219801A0L2915AQ00299,,,,,已使用,y
嘉兴,熊猫备站,h3c,交换机,1,34,2003/5/5,88lm-mgt-sw-1-1,,,,S5110-52P-SI,219801A0L2916BQ00201,,,,,已使用,y
嘉兴,熊猫备站,h3c,交换机,1,6,2003/5/5,H3C交换机备件,,,,S5110-52P-SI,219801A0L2916BQ00195,,,,,已使用,y
嘉兴,熊猫备站,h3c,交换机,1,2,2003/5/5,H3C交换机备件,,,,S5110-52P-SI,219801A0L2916BQ00191,,,,,已使用,y
嘉兴,寄居蟹,dell,物理机,2,34,2003/5/6,JJX-WEB-PB-1-1,,,,r630,CMGTW72,,,,,已使用,y
嘉兴,寄居蟹,dell,物理机,2,36,2003/5/6,JJX-WEB-PB-1-2,,,,r630,CN64X72,,,,,已使用,y
嘉兴,寄居蟹,dell,物理机,2,29,2003/5/6,JJX-VS-VM-1-1,,,,r820,CYZNW72,,,,,已使用,y
嘉兴,寄居蟹,dell,物理机,2,32,2003/5/6,JJX-VS-VM-1-2,,,,r820,CNCMW72,,,,,已使用,y
嘉兴,寄居蟹,dell,物理机,2,26,2003/5/6,JJX-VS-VM-1-3,,,,r820,D3ZRW72,,,,,已使用,y
